basic_date,close_value
10/15/2008,335000
10/16/2008,310000
10/17/2008,297500
10/20/2008,293500
10/21/2008,294500
10/22/2008,290000
10/23/2008,280000
10/24/2008,258000
10/27/2008,265000
10/28/2008,272000
10/29/2008,277000
10/30/2008,318500
10/31/2008,334500
11/03/2008,339500
11/04/2008,338500
11/05/2008,340000
11/06/2008,330000
11/07/2008,339000
11/10/2008,313000
11/11/2008,305000
11/12/2008,305000
11/13/2008,312000
11/14/2008,296500
11/17/2008,288000
11/18/2008,285000
11/19/2008,282500
11/20/2008,278500
11/21/2008,291000
11/24/2008,291000
11/25/2008,294000
11/26/2008,299500
11/27/2008,303000
11/28/2008,333500
12/01/2008,290000
12/02/2008,281000
12/03/2008,272500
12/04/2008,271500
12/05/2008,265000
12/08/2008,279000
12/09/2008,286000
12/10/2008,293500
12/11/2008,280000
12/12/2008,279500
12/15/2008,281000
12/16/2008,262000
12/17/2008,271000
12/18/2008,269000
12/19/2008,284000
12/22/2008,288000
12/23/2008,277000
12/24/2008,276000
12/26/2008,272000
12/29/2008,272000
12/30/2008,258000
01/02/2009,270000
01/05/2009,278000
01/06/2009,290000
01/07/2009,315000
01/08/2009,301000
01/09/2009,298000
01/12/2009,296500
01/13/2009,297000
01/14/2009,291000
01/15/2009,270000
01/16/2009,282000
01/19/2009,279000
01/20/2009,277000
01/21/2009,273500
01/22/2009,271000
01/23/2009,262000
01/28/2009,291000
01/29/2009,295000
01/30/2009,305000
02/02/2009,290000
02/03/2009,302000
02/04/2009,311500
02/05/2009,311000
02/06/2009,319000
02/09/2009,309000
02/10/2009,307500
02/11/2009,303000
02/12/2009,310000
02/13/2009,303000
02/16/2009,303000
02/17/2009,296500
02/18/2009,293000
02/19/2009,293000
02/20/2009,286000
02/23/2009,293500
02/24/2009,282000
02/25/2009,278500
02/26/2009,280000
02/27/2009,274500
03/02/2009,266500
03/03/2009,273000
03/04/2009,279500
03/05/2009,286500
03/06/2009,289000
03/09/2009,295000
03/10/2009,290000
03/11/2009,297000
03/12/2009,293000
03/13/2009,298500
03/16/2009,298000
03/17/2009,300000
03/18/2009,303500
03/19/2009,304500
03/20/2009,304500
03/23/2009,307500
03/24/2009,314000
03/25/2009,314000
03/26/2009,322500
03/27/2009,331000
03/30/2009,321000
03/31/2009,315500
04/01/2009,317000
04/02/2009,327000
04/03/2009,321500
04/06/2009,322000
04/07/2009,318500
04/08/2009,307500
04/09/2009,320000
04/10/2009,327000
04/13/2009,319000
04/14/2009,319000
04/15/2009,324500
04/16/2009,329000
04/17/2009,340000
04/20/2009,342500
04/21/2009,342000
04/22/2009,356500
04/23/2009,363000
04/24/2009,346500
04/27/2009,336000
04/28/2009,328500
04/29/2009,328500
04/30/2009,332000
05/04/2009,341000
05/06/2009,332000
05/07/2009,333000
05/08/2009,340500
05/11/2009,335000
05/12/2009,335000
05/13/2009,340000
05/14/2009,339000
05/15/2009,352000
05/18/2009,362000
05/19/2009,369000
05/20/2009,379000
05/21/2009,383500
05/22/2009,380000
05/25/2009,375000
05/26/2009,357000
05/27/2009,358000
05/28/2009,372000
05/29/2009,368000
06/01/2009,369000
06/02/2009,367000
06/03/2009,363000
06/04/2009,351000
06/05/2009,353000
06/08/2009,357500
06/09/2009,357500
06/10/2009,359500
06/11/2009,363000
06/12/2009,371500
06/15/2009,376000
06/16/2009,372000
06/17/2009,380000
06/18/2009,371000
06/19/2009,378500
06/22/2009,380500
06/23/2009,376000
06/24/2009,376000
06/25/2009,380500
06/26/2009,387500
06/29/2009,388000
06/30/2009,390000
07/01/2009,390000
07/02/2009,392500
07/03/2009,393000
07/06/2009,412000
07/07/2009,412500
07/08/2009,406000
07/09/2009,413000
07/10/2009,414000
07/13/2009,405000
07/14/2009,413500
07/15/2009,432500
07/16/2009,425000
07/17/2009,425000
07/20/2009,435500
07/21/2009,450000
07/22/2009,459500
07/23/2009,462000
07/24/2009,456500
07/27/2009,460000
07/28/2009,454000
07/29/2009,459000
07/30/2009,459500
07/31/2009,464500
08/03/2009,454000
08/04/2009,456000
08/05/2009,449500
08/06/2009,457500
08/07/2009,457000
08/10/2009,455500
08/11/2009,456000
08/12/2009,446500
08/13/2009,446500
08/14/2009,459500
08/17/2009,453000
08/18/2009,464500
08/19/2009,465000
08/20/2009,463000
08/21/2009,468000
08/24/2009,490500
08/25/2009,492000
08/26/2009,480000
08/27/2009,474000
08/28/2009,482000
08/31/2009,491500
09/01/2009,498500
09/02/2009,484000
09/03/2009,472000
09/04/2009,465000
09/07/2009,471500
09/08/2009,468000
09/09/2009,464500
09/10/2009,468000
09/11/2009,487000
09/14/2009,482000
09/15/2009,480000
09/16/2009,488000
09/17/2009,498500
09/18/2009,487500
09/21/2009,483500
09/22/2009,490000
09/23/2009,493000
09/24/2009,496000
09/25/2009,491000
09/28/2009,486000
09/29/2009,495000
09/30/2009,493000
10/01/2009,480000
10/05/2009,480000
10/06/2009,470000
10/07/2009,456500
10/08/2009,458500
10/09/2009,465500
10/12/2009,463000
10/13/2009,464000
10/14/2009,478000
10/15/2009,478000
10/16/2009,468000
10/19/2009,465000
10/20/2009,468000
10/21/2009,471000
10/22/2009,469000
10/23/2009,475000
10/26/2009,477000
10/27/2009,479000
10/28/2009,476000
10/29/2009,476000
10/30/2009,480500
11/02/2009,470000
11/03/2009,459500
11/04/2009,463500
11/05/2009,461000
11/06/2009,462000
11/09/2009,471000
11/10/2009,468500
11/11/2009,468500
11/12/2009,453500
11/13/2009,453500
11/16/2009,456000
11/17/2009,461000
11/18/2009,474000
11/19/2009,478000
11/20/2009,478000
11/23/2009,478500
11/24/2009,474000
11/25/2009,479000
11/26/2009,483000
11/27/2009,454500
11/30/2009,475000
12/01/2009,473000
12/02/2009,477000
12/03/2009,487000
12/04/2009,491500
12/07/2009,497000
12/08/2009,505000
12/09/2009,509000
12/10/2009,515000
12/11/2009,519000
12/14/2009,517000
12/15/2009,522000
12/16/2009,522000
12/17/2009,517000
12/18/2009,503000
12/21/2009,505000
12/22/2009,510000
12/23/2009,514000
12/24/2009,514000
12/28/2009,515000
12/29/2009,515000
12/30/2009,525000
01/04/2010,522000
01/05/2010,530000
01/06/2010,538000
01/07/2010,529000
01/08/2010,526000
01/11/2010,510000
01/12/2010,519000
01/13/2010,508000
01/14/2010,519000
01/15/2010,519000
01/18/2010,520000
01/19/2010,521000
01/20/2010,533000
01/21/2010,540000
01/22/2010,530000
01/25/2010,532000
01/26/2010,520000
01/27/2010,507000
01/28/2010,507000
01/29/2010,513000
02/01/2010,502000
02/02/2010,512000
02/03/2010,514000
02/04/2010,510000
02/05/2010,492000
02/08/2010,498000
02/09/2010,493500
02/10/2010,492500
02/11/2010,504000
02/12/2010,505000
02/16/2010,504000
02/17/2010,508000
02/18/2010,503000
02/19/2010,498000
02/22/2010,505000
02/23/2010,492500
02/24/2010,485500
02/25/2010,473500
02/26/2010,487500
03/02/2010,499500
03/03/2010,496000
03/04/2010,492500
03/05/2010,496000
03/08/2010,499000
03/09/2010,496000
03/10/2010,499000
03/11/2010,497000
03/12/2010,500000
03/15/2010,505000
03/16/2010,508000
03/17/2010,520000
03/18/2010,521000
03/19/2010,524000
03/22/2010,517000
03/23/2010,524000
03/24/2010,530000
03/25/2010,530000
03/26/2010,535000
03/29/2010,540000
03/30/2010,549000
03/31/2010,538000
04/01/2010,554000
04/02/2010,559000
04/05/2010,575000
04/06/2010,578000
04/07/2010,574000
04/08/2010,571000
04/09/2010,558000
04/12/2010,530000
04/13/2010,530000
04/14/2010,543000
04/15/2010,544000
04/16/2010,545000
04/19/2010,532000
04/20/2010,535000
